agent;timestep;position;direction;status;given_command
1;0;None;s;waiting;move_forward
1;1;None;s;waiting;move_forward
1;2;None;s;waiting;move_forward
1;3;None;s;ready to depart;move_forward
1;4;(23, 23);s;moving;move_forward
1;5;(24, 23);s;moving;move_forward
1;6;(24, 24);e;moving;move_forward
1;7;(25, 24);s;moving;move_forward
0;8;None;e;waiting;move_forward
1;8;(26, 24);s;moving;move_forward
0;9;None;e;waiting;move_forward
1;9;(27, 24);s;moving;move_forward
0;10;None;e;waiting;move_forward
1;10;(28, 24);s;moving;move_forward
0;11;None;e;ready to depart;move_forward
1;11;(28, 23);w;moving;move_forward
0;12;(14, 12);e;moving;move_forward
1;12;(28, 22);w;moving;move_forward
0;13;(14, 13);e;moving;move_forward
1;13;(28, 21);w;moving;move_forward
0;14;(15, 13);s;moving;move_forward
1;14;(28, 20);w;moving;move_forward
0;15;(15, 14);e;moving;move_forward
1;15;(28, 19);w;moving;move_forward
0;16;(15, 15);e;moving;move_forward
1;16;(28, 18);w;moving;move_forward
0;17;(15, 16);e;moving;move_forward
1;17;(27, 18);n;moving;move_forward
0;18;(15, 17);e;moving;move_forward
1;18;(26, 18);n;moving;move_forward
0;19;(15, 18);e;moving;move_forward
1;19;(25, 18);n;moving;move_forward
0;20;(15, 19);e;moving;move_forward
1;20;(24, 18);n;moving;move_forward
0;21;(16, 19);s;moving;move_forward
1;21;(23, 18);n;moving;move_forward
0;22;(16, 20);e;moving;move_forward
1;22;(22, 18);n;moving;move_left
0;23;(17, 20);s;moving;move_forward
1;23;(21, 18);n;moving;move_forward
0;24;(18, 20);s;moving;move_forward
1;24;(20, 18);n;moving;move_forward
0;25;(18, 21);e;moving;move_forward
1;25;(19, 18);n;moving;move_forward
0;26;(18, 22);e;moving;move_forward
1;26;(18, 18);n;moving;move_forward
0;27;(18, 23);e;moving;move_forward
1;27;(17, 18);n;moving;move_left
0;28;(18, 24);e;moving;move_forward
1;28;(16, 18);n;moving;move_forward
0;29;(19, 24);s;moving;move_forward
1;29;(15, 18);n;moving;move_left
1;30;(14, 18);n;moving;move_forward
1;31;(13, 18);n;moving;move_forward
1;32;(12, 18);n;moving;move_left
1;33;(11, 18);n;moving;move_forward
